GPU_A,GPU_B,LinkType,Bandwidth (MB/s),Latency (ns)
0_NVIDIA L40S,1_NVIDIA L40S,Single PCIe,32000,300
0_NVIDIA L40S,2_NVIDIA L40S,Single PCIe,32000,300
0_NVIDIA L40S,3_NVIDIA L40S,Single PCIe,32000,300
1_NVIDIA L40S,0_NVIDIA L40S,Single PCIe,32000,300
1_NVIDIA L40S,2_NVIDIA L40S,Single PCIe,32000,300
1_NVIDIA L40S,3_NVIDIA L40S,Single PCIe,32000,300
2_NVIDIA L40S,0_NVIDIA L40S,Single PCIe,32000,300
2_NVIDIA L40S,1_NVIDIA L40S,Single PCIe,32000,300
2_NVIDIA L40S,3_NVIDIA L40S,Single PCIe,32000,300
3_NVIDIA L40S,0_NVIDIA L40S,Single PCIe,32000,300
3_NVIDIA L40S,1_NVIDIA L40S,Single PCIe,32000,300
3_NVIDIA L40S,2_NVIDIA L40S,Single PCIe,32000,300
